Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;SALAMANCA;44.8;16.4;66.0;49.6;0.8;5.2;0.4;8.4;44.8;98.8;97.6;89.6
% Humedad del suelo sobre una capacidad de 25 mm;SANTA CRUZ DE TENERIFE;67.2;55.6;58.4;11.2;8.4;4.0;0.8;12.4;78.4;7.2;8.8;66.4
% Humedad del suelo sobre una capacidad de 25 mm;SEGOVIA;52.4;23.6;98.4;66.4;0.8;2.4;0.4;2.4;27.6;42.8;93.2;77.2
% Humedad del suelo sobre una capacidad de 25 mm;SEVILLA;18.0;10.0;73.2;38.0;0.4;0.4;0.4;0.4;12.0;29.2;51.2;63.6
% Humedad del suelo sobre una capacidad de 25 mm;SORIA;46.8;19.6;88.8;76.0;3.2;2.0;0.4;18.0;16.4;39.2;92.8;86.0
% Humedad del suelo sobre una capacidad de 25 mm;TARRAGONA;17.2;4.8;65.2;34.4;20.0;18.0;7.2;37.2;17.6;12.4;35.6;56.0
% Humedad del suelo sobre una capacidad de 25 mm;TERUEL;26.0;11.2;88.8;64.8;6.0;13.2;12.8;16.8;31.2;14.8;83.2;56.0
% Humedad del suelo sobre una capacidad de 25 mm;TOLEDO;34.8;28.4;88.4;59.2;0.4;0.4;0.4;0.4;9.2;33.6;68.0;73.2
% Humedad del suelo sobre una capacidad de 25 mm;VALENCIA/VALÈNCIA;23.2;28.8;90.0;63.6;1.6;3.6;0.4;33.2;32.8;19.6;34.4;42.8
% Humedad del suelo sobre una capacidad de 25 mm;VALLADOLID;52.4;25.2;76.8;63.6;0.8;1.2;0.4;6.4;11.6;94.0;93.6;89.6
% Humedad del suelo sobre una capacidad de 25 mm;ZAMORA;47.2;19.6;54.8;42.0;2.8;4.4;0.4;14.0;17.6;100.0;96.4;95.6
% Humedad del suelo sobre una capacidad de 25 mm;ZARAGOZA;36.4;8.0;58.8;52.8;2.8;2.0;1.2;10.0;10.8;16.4;80.4;63.6
