prov_id,mun_id,total_2023,hombres_2023,mujeres_2023,ine_id,municipio,km2,densidad
02,02011,601.0,334.0,267.0,2011000000,Ayna,14659.0,0.04099870386793096
02,02012,2408.0,1236.0,1172.0,2012000000,Balazote,6515.0,0.3696085955487337
02,02013,134.0,78.0,56.0,2013000000,Balsa de ves,7635.0,0.017550753110674524
02,02014,414.0,217.0,197.0,2014000000,El ballestero,13869.0,0.029850746268656716
02,02015,1849.0,955.0,894.0,2015000000,Barrax,18986.0,0.09738754872010956
02,02016,567.0,309.0,258.0,2016000000,Bienservida,9073.0,0.06249311142951615
02,02017,740.0,391.0,349.0,2017000000,Bogarra,16601.0,0.04457562797421842
02,02018,980.0,518.0,462.0,2018000000,Bonete,12506.0,0.07836238605469374
02,02019,2651.0,1349.0,1302.0,2019000000,El bonillo,50266.0,0.052739426252337566
02,02020,481.0,249.0,232.0,2020000000,Carcelen,7536.0,0.06382696390658174
02,02021,1349.0,729.0,620.0,2021000000,Casas de juan nuñez,8898.0,0.15160710271971228
02,02022,324.0,186.0,138.0,2022000000,Casas de lazaro,11232.0,0.028846153846153848
02,02023,556.0,295.0,261.0,2023000000,Casas de ves,12509.0,0.04444799744184187
02,02024,4581.0,2314.0,2267.0,2024000000,Casas-ibañez,10325.0,0.44368038740920096
02,02025,10146.0,5188.0,4958.0,2025000000,Caudete,14163.0,0.7163736496504978
02,02026,1143.0,577.0,566.0,2026000000,Cenizate,6326.0,0.18068289598482454
02,02027,302.0,159.0,143.0,2027000000,Corral-rubio,9476.0,0.03186998733642887
02,02028,131.0,74.0,57.0,2028000000,Cotillas,1447.0,0.09053213545266067
02,02029,4565.0,2363.0,2202.0,2029000000,Chinchilla de monte-aragon,67927.0,0.06720449894739941
02,02030,3576.0,1751.0,1825.0,2030000000,Elche de la sierra,23949.0,0.1493172992609295
02,02031,617.0,309.0,308.0,2031000000,Ferez,12614.0,0.048913905184715396
02,02032,289.0,157.0,132.0,2032000000,Fuensanta,2396.0,0.12061769616026712
02,02033,2431.0,1278.0,1153.0,2033000000,Fuente-alamo,13339.0,0.18224754479346278
02,02034,1827.0,951.0,876.0,2034000000,Fuentealbilla,10829.0,0.1687136393018746
02,02035,2611.0,1356.0,1255.0,2035000000,La gineta,13676.0,0.19091839719216144
02,02036,92.0,50.0,42.0,2036000000,Golosalvo,2818.0,0.032647267565649396
02,02037,30516.0,15344.0,15172.0,2037000000,Hellin,78166.0,0.3903999181229691
02,02038,307.0,161.0,146.0,2038000000,La herrera,6343.0,0.048399810815071734
02,02039,1147.0,600.0,547.0,2039000000,Higueruela,20545.0,0.055828668775857876
02,02040,614.0,323.0,291.0,2040000000,Hoya-gonzalo,11457.0,0.05359169066945972
02,02041,346.0,188.0,158.0,2041000000,Jorquera,6797.0,0.05090481094600559
02,02042,929.0,466.0,463.0,2042000000,Letur,2644.0,0.35136157337367624
02,02043,1291.0,674.0,617.0,2043000000,Lezuza,3609.0,0.3577168190634525
02,02044,1080.0,562.0,518.0,2044000000,Lietor,31179.0,0.034638699124410664
02,02045,4675.0,2386.0,2289.0,2045000000,Madrigueras,7335.0,0.6373551465576005
02,02046,1491.0,771.0,720.0,2046000000,Mahora,10815.0,0.1378640776699029
02,02047,139.0,79.0,60.0,2047000000,Masegoso,10387.0,0.013382112255704246
02,02048,1435.0,724.0,711.0,2048000000,Minaya,6983.0,0.2054990691679794
02,02049,824.0,425.0,399.0,2049000000,Molinicos,14359.0,0.05738561181140748
02,02050,89.0,52.0,37.0,2050000000,Montalvos,2478.0,0.035916061339790153
