com_id,comunidad,km2,total_com,densidad,R0,prob_inf
1,Andalucía,7763487.17,8570528.0,1.1039533926350265,5.519766963175132,0.997742653940175
2,Aragón,4407470.0,1339759.0,0.30397461582268287,1.5198730791134143,0.36997944637222135
3, Principado de Asturias,1008391.0,1005283.0,0.9969178622181277,4.984589311090638,0.9930514767225567
4, Illes Balears,473962.0,1197261.0,2.526069600516497,12.630348002582485,0.9999999999999861
5,Canarias,650990.5700000001,2209937.0,3.394729665592544,16.97364832796272,1.0
6,Cantabria,495112.0,592920.0,1.1975472216387404,5.987736108193702,0.9992311362176796
7,Castilla y León,8588135.0,2382666.0,0.27743695226029863,1.3871847613014932,0.3194515844501479
8,Castilla-La Mancha,6758412.26,2083742.0,0.3083182735585296,1.5415913677926478,0.378301971621262
9,Cataluña,2945475.0,7909609.0,2.68534243203558,13.4267121601779,0.9999999999999998
10,Comunitat Valenciana,2044472.0,5297895.0,2.591326758204563,12.956633791022815,0.9999999999999973
11,Extremadura,3645173.6,1057055.0,0.2899875605375832,1.449937802687916,0.3432579308100814
12,Galicia,2697245.0,2718128.0,1.0077423445033729,5.038711722516864,0.9937659131403795
13, Comunidad de Madrid,730303.0,6905645.0,9.455862840492234,47.279314202461165,1.0
14, Región de Murcia,851445.27,1587743.0,1.8647622530101082,9.32381126505054,0.9999999718773716
15, Comunidad Foral de Navarra,896675.0,676311.0,0.7542431761786601,3.7712158808933003,0.9418316475256308
16,País Vasco,673533.0,2219019.0,3.2945958104502675,16.472979052251336,1.0
17, La Rioja,458209.0,322490.0,0.7038054686835047,3.519027343417523,0.915980863343338
18,Ceuta,18.5,83039.0,4488.594594594595,22442.972972972973,1.0
19,Melilla,12.3,85491.0,6950.487804878048,34752.439024390245,1.0
