densidad,prov_id,mun_id,R0,prob_inf
0.2408088235294117,17,17029,1.2040441176470584,0.25169486331613533
0.0492505353319057,17,17031,0.24625267665952852,0.012054827457772976
1.0980392156862746,17,17032,5.490196078431373,0.9975907760503369
1.4773604773604774,17,17033,7.386802386802387,0.9999817796216433
3.5852932420363204,17,17034,17.9264662101816,1.0
0.4614890885750963,17,17035,2.3074454428754816,0.6552241883116836
0.9837672281776416,17,17036,4.918836140888208,0.9920849541762317
0.0876536611437733,17,17037,0.43826830571886655,0.037687292686626295
0.6301531213191991,17,17038,3.1507656065959955,0.8626832230203566
0.2401274500337935,17,17039,1.2006372501689675,0.2504677707015246
0.1677115987460815,17,17040,0.8385579937304075,0.13119441530729936
0.1669234720082177,17,17041,0.8346173600410884,0.13004798805298112
0.2517904259329061,17,17042,1.2589521296645305,0.27166348590920164
0.0210425122837,17,17043,0.1052125614185,0.0022114876659852234
2.3852080123266566,17,17044,11.926040061633284,0.9999999999995574
12.89041095890411,17,17046,64.45205479452055,1.0
2.7765680473372782,17,17047,13.882840236686391,1.0
5.796125461254612,17,17048,28.98062730627306,1.0
2.786185881157948,17,17049,13.93092940578974,1.0
0.998017839444995,17,17050,4.990089197224975,0.9931272986419228
0.1162699960983222,17,17051,0.581349980491611,0.06535972838448734
0.1768060836501901,17,17052,0.8840304182509505,0.14469911192717055
0.1978521272201569,17,17054,0.9892606361007845,0.1777635894722419
0.4893617021276595,17,17055,2.4468085106382977,0.6980139266924945
0.8621184919210054,17,17056,4.310592459605028,0.9756747766869777
0.8098811757348343,17,17057,4.049405878674172,0.9623543396394766
0.2137809187279152,17,17058,1.068904593639576,0.20428277884624646
1.5511363636363635,17,17060,7.7556818181818175,0.9999940380925907
0.1732973701955495,17,17061,0.8664868509777475,0.13942963339521508
6.448,17,17062,32.24,1.0
0.1418764302059496,17,17063,0.709382151029748,0.09574565876670138
0.9380733944954128,17,17064,4.690366972477064,0.9877215362674376
0.2959442332065906,17,17065,1.4797211660329528,0.3546193271668052
25.080670508119436,17,17066,125.40335254059718,1.0
1.6885964912280702,17,17067,8.442982456140351,0.9999993567874137
0.1548250265111346,17,17068,0.7741251325556731,0.11295001392259407
0.1858437935843793,17,17069,0.9292189679218965,0.15860123706192975
0.1812366737739872,17,17070,0.906183368869936,0.15145627167642506
0.8420128730251609,17,17071,4.210064365125804,0.9711293101833287
2.327086882453151,17,17073,11.635434412265756,0.9999999999982592
0.7224264705882353,17,17074,3.6121323529411766,0.9264286817605554
0.2353838332486019,17,17075,1.1769191662430094,0.24196653464845297
0.2125279642058165,17,17076,1.0626398210290824,0.20215479404416004
0.4595744680851064,17,17077,2.297872340425532,0.652170707578005
0.1546674801708358,17,17078,0.7733374008541791,0.11273372738096143
26.769309725429817,17,17079,133.84654862714908,1.0
0.4618937644341801,17,17080,2.3094688221709005,0.6558677501034107
4.725274725274725,17,17081,23.626373626373628,1.0
0.2686433063791554,17,17082,1.343216531895777,0.30291374934060933
13.04733727810651,17,17083,65.23668639053254,1.0
3.157407407407407,17,17084,15.787037037037035,1.0
0.5825825825825826,17,17085,2.9129129129129128,0.8167698612862082
0.5909963357180248,17,17086,2.9549816785901237,0.825596438131981
0.4031287605294825,17,17087,2.0156438026474124,0.5562810834380127
