prov_id,com_id,provincia,km2,total_prov,densidad,R0,prob_inf
4,1,Almería,832312.0,753920.0,0.9058141658416555,4.529070829208278,0.9834686469318563
11,1,Cádiz,612140.9199999999,1250539.0,2.042893979379781,10.214469896898905,0.9999999991339505
14,1,Córdoba,1131334.25,773997.0,0.6841452912788595,3.4207264563942976,0.9036987420939432
18,1,Granada,1194269.0,930181.0,0.7788705894568142,3.894352947284071,0.9518385791445382
21,1,Huelva,912211.0,532839.0,0.5841181481038926,2.9205907405194633,0.8184038574892794
23,1,Jaén,1135572.0,620242.0,0.5461934602121222,2.7309673010606113,0.774995860662741
29,1,Málaga,684475.0,1751600.0,2.559041601227218,12.79520800613609,0.999999999999994
41,1,Sevilla,1261173.0,1957210.0,1.551896528073468,7.75948264036734,0.9999941079947553
22,2,Huesca,1441718.0,227077.0,0.15750444955254772,0.7875222477627386,0.11665395494414688
44,2,Teruel,1340671.0,135269.0,0.10089649138379214,0.5044824569189608,0.049626781413792065
50,2,Zaragoza,1625081.0,977413.0,0.6014549428613096,3.007274714306548,0.8361395685876832
33,3,Asturias,1008391.0,1005283.0,0.9969178622181277,4.984589311090638,0.9930514767225567
7,4, Illes Balears,473962.0,1197261.0,2.526069600516497,12.630348002582485,0.9999999999999861
35,5, Las Palmas,377676.0,1148147.0,3.0400316673550876,15.200158336775438,1.0
38,5,Santa Cruz de Tenerife,273314.57,1061790.0,3.8848642426929527,19.424321213464765,1.0
39,6,Cantabria,495112.0,592920.0,1.1975472216387404,5.987736108193702,0.9992311362176796
5,7,Ávila,707395.0,158407.0,0.22393005322344658,1.119650266117233,0.22176235386023668
9,7,Burgos,1252526.0,357180.0,0.28516773304506254,1.4258386652253128,0.33409161625606265
24,7,León,1429166.0,447765.0,0.3133051024163743,1.5665255120818715,0.3878637778346159
34,7,Palencia,751450.0,157752.0,0.20993013507219377,1.049650675360969,0.1977646883129126
37,7,Salamanca,1103253.0,327908.0,0.29721922351446134,1.4860961175723066,0.35705515378103647
40,7,Segovia,624405.0,155258.0,0.24864951433764945,1.2432475716882472,0.2659167997129479
42,7,Soria,989240.0,89518.0,0.09049169059075654,0.45245845295378273,0.04011685926410369
47,7,Valladolid,750713.0,521493.0,0.6946636064647875,3.4733180323239377,0.9104347286550999
49,7,Zamora,979987.0,167385.0,0.17080328616604099,0.854016430830205,0.13572892297159944
2,8,Albacete,1299348.99,387174.0,0.2979753730366158,1.4898768651830792,0.35850033342281373
13,8,Ciudad Real,1471119.27,495902.0,0.3370916349970727,1.6854581749853634,0.43342955327747346
16,8,Cuenca,1478354.0,197572.0,0.1336432275354888,0.668216137677444,0.0854311814497064
19,8,Guadalajara,1122566.0,274598.0,0.2446163521788474,1.223081760894237,0.2585783585895358
45,8,Toledo,1387024.0,728496.0,0.5252223465491584,2.6261117327457923,0.748243408894691
8,9,Barcelona,690359.0,5805500.0,8.409392794183896,42.04696397091948,1.0
17,9,Girona,582412.0,809436.0,1.3897996607212764,6.948998303606382,0.9999360695947797
25,9,Lleida,1108958.0,446793.0,0.4028944288241755,2.0144721441208775,0.5558618444881689
43,9,Tarragona,563746.0,847880.0,1.5040106714726136,7.520053357363068,0.9999877531341111
3,10,Alicante/Alacant,532101.0,1950357.0,3.665388713796817,18.326943568984085,1.0
12,10,Castellón/Castelló,595101.0,603952.0,1.0148731055736757,5.074365527868379,0.9941996504852627
46,10,Valencia/València,917270.0,2743586.0,2.9910342647203114,14.955171323601558,1.0
6,11,Badajoz,1934134.37,668612.0,0.34569056337073417,1.7284528168536708,0.449820025554481
10,11,Cáceres,1711039.23,388443.0,0.22702167968410636,1.135108398420532,0.22716848391583044
15,12, A Coruña,665575.0,1145377.0,1.7208834466438794,8.604417233219397,0.9999996290502339
27,12,Lugo,905366.0,323956.0,0.35781772233549747,1.7890886116774873,0.4727959491340943
32,12,Ourense,710205.0,304550.0,0.4288198477904267,2.1440992389521334,0.6012546591320418
36,12,Pontevedra,416099.0,944245.0,2.2692796666178,11.346398333089,0.9999999999934277
28,13,Madrid,730303.0,6905645.0,9.455862840492234,47.279314202461165,1.0
30,14,Murcia,851445.27,1587743.0,1.8647622530101082,9.32381126505054,0.9999999718773716
31,15,Navarra,896675.0,676311.0,0.7542431761786601,3.7712158808933003,0.9418316475256308
1,16,Araba/Álava,293470.0,336686.0,1.147258663577197,5.736293317885986,0.9986135547834929
48,16,Bizkaia,203182.0,1154306.0,5.681143014637123,28.405715073185615,1.0
20,16,Gipuzkoa,176881.0,728027.0,4.115914089133372,20.57957044566686,1.0
26,17, La Rioja,458209.0,322490.0,0.7038054686835047,3.519027343417523,0.915980863343338
51,18,Ceuta,18.5,83039.0,4488.594594594595,22442.972972972973,1.0
52,19,Melilla,12.3,85491.0,6950.487804878048,34752.439024390245,1.0
